example_id,free_text,intended_urgency,notes
MAN13,A CFAV has been giving a particular cadet lifts home alone after activities without prior agreement from parents. On one occasion they took a longer route and the cadet reports feeling uncomfortable but unsure how to say no.,High,Unsafe transport and boundary issue involving CFAV and cadet alone; needs urgent review of practice and safeguarding response.
MAN14,"At the end of parade night, a parent becomes very angry in the car park, shouting aggressively at staff in front of cadets about a perceived unfair decision. Their child appears distressed and apologises repeatedly for their parent’s behaviour.",High,Intimidating parental behaviour in front of young people; impact on child and staff safety needs managing.
MAN15,Cadet quietly tells a trusted CFAV that their younger sibling “gets hit a lot at home” when they make mistakes and that they try to stay out of the way so they don’t get hit too. They seem worried about getting in trouble for sharing this.,Critical,Disclosure of physical harm to a younger child in the home; immediate safeguarding referral required.
MAN16,Cadet reports receiving anonymous social media messages threatening that they will be “jumped” on the way home from cadets if they keep attending. They say they are scared but still want to come if it can be made safe.,High,Specific threats of violence connected to cadet attendance; needs prompt safety planning and possible police involvement.
MAN17,"There is some low-level teasing within a friendship group about a cadet always forgetting parts of their uniform. The cadet laughs along and says it doesn’t bother them, and there is no sign of them being isolated or upset.",Low,Low-level peer teasing with no current indication of harm; continue to monitor and reinforce respectful behaviour.
MAN18,"Cadet recently lost a grandparent they were very close to. They have been quieter on parade and had a brief cry during a break, but they report having good support from family and school and say coming to cadets helps them cope.",Medium,Bereavement-related sadness with existing support; needs sensitivity and ongoing monitoring rather than urgent intervention.
MAN19,"During a weekend exercise, several cadets report that a CFAV was drinking alcohol in the evening while officially on duty and responsible for overnight supervision. The cadets say they felt uneasy and unsure who to tell.",Critical,Serious breach of safeguarding and safety standards by CFAV; requires immediate escalation and formal investigation.
MAN20,"Cadet has been turning up late for the start of parade most weeks for the last month. When asked, they say buses have been unreliable and there are no other concerns reported by them or parents.",Low,Practical attendance issue linked to transport; may be resolved through simple adjustments and support.
MAN21,Cadet has been falling asleep during evening activities and says they are often kept awake late because there is a lot of shouting and arguing at home. They say they are “used to it” and shrug it off as “just how it is”.,High,Ongoing exposure to conflict at home with impact on sleep and functioning; needs safeguarding enquiry.
MAN22,Parent emails to say their child is very anxious about attending cadets because of repeated jokes about their weight from a small group of peers. The cadet has started refusing to get changed in the same room as others.,Medium,Body image–related bullying causing distress; requires action to address behaviour and support the cadet.
MAN23,"A CFAV is observed repeatedly putting a hand on a cadet’s shoulder and lower back when moving them around during drill, despite the cadet looking uncomfortable and stepping away. The CFAV laughs and says they are “just being friendly”.",High,Inappropriate physical contact and disregard for cadet’s discomfort; adult conduct concern that needs addressing.
MAN24,"Cadet discloses that when they make mistakes, a parent “throws things” and has punched a hole in the wall near where they were standing. They say no one has actually hit them but they are scared when their parent is angry.",High,Exposure to threatening behaviour and potential emotional abuse at home; requires safeguarding referral.
MAN25,"On a residential, a CFAV insists that all mobile phones are handed in but is later seen going through photos and private messages on a cadet’s phone without them present. The cadet is upset and says they feel their privacy has been invaded.",High,Breach of privacy and misuse of authority by CFAV; safeguarding and data protection concern.
MAN26,"Cadet has mentioned in passing that there is not always enough food at home towards the end of the month, and they have started taking extra biscuits at break. Their uniform is looking more worn and they are reluctant to join trips with a cost.",Medium,Emerging neglect/financial hardship indicators; requires discreet follow-up and support.
MAN27,"A senior cadet has been sending late-night Snapchat messages to a younger cadet, asking for pictures in uniform and making flirty comments. The younger cadet feels uncomfortable but worries about “causing drama” if they report it.",High,Peer-to-peer sexualised messaging with power imbalance; safeguarding concern needing clear boundaries and action.
MAN28,"During a lesson, a CFAV makes repeated “banter” comments about a cadet’s religion and tells them they are “too sensitive” when they look upset. Other cadets later say they found it awkward and wrong.",High,Discriminatory remarks from an adult in authority; serious conduct and safeguarding issue.
MAN29,Cadet has recently been diagnosed with autism and is finding large parades overwhelming. They occasionally have meltdowns when there are sudden changes to routine but are generally happy to attend and have supportive parents.,Low,Additional needs requiring reasonable adjustments and support; not an immediate safeguarding risk but needs planning.
MAN30,Cadet admits to drinking alcohol most weekends with older friends and occasionally getting “so smashed I can’t remember much”. They say their parents think they are staying at a friend’s to play games.,High,Underage drinking at hazardous levels and deception of parents; health and safeguarding concern requiring prompt action.
MAN31,A cadet reports that they sometimes hear shouting and banging from the neighbour’s flat and a child crying for a long time. They are not sure what is happening but are worried someone might be getting hurt.,High,Third-party concern about possible harm to a child in another household; needs information-sharing and possible referral.
MAN32,"CFAV is repeatedly late to activities and often leaves younger cadets unsupervised while they “grab something from the car”, leaving only a senior cadet in charge. No incidents have occurred yet, but other staff are uneasy.",Medium,Poor supervision practice and near-miss risk; requires management intervention before something happens.
MAN33,Cadet tells a friend that they have searched online for “painless ways to die” and has hidden blades in their bedroom “just in case”. They beg the friend not to tell anyone because they “don’t want to be locked up”.,Critical,"Serious, active self-harm/suicidal ideation with means available; requires immediate safeguarding and mental health response."
MAN34,"During a field exercise, cadets report that a CFAV made repeated sexual jokes and comments about how some cadets would “look great in a nightclub when they’re older”. The cadets felt embarrassed and didn’t know how to react.",Critical,Sexualised comments from CFAV towards young people; significant breach of professional boundaries.
MAN35,"Cadet has become very controlling within a friendship group, excluding others from activities and spreading rumours about anyone who challenges them. Several younger cadets are now reluctant to attend evenings when that cadet is present.",Low,Peer relational aggression and emerging bullying by a dominant cadet; needs structured intervention.
MAN36,"On inspection, a CFAV finds a small knife in a cadet’s rucksack. The cadet says they carry it “for protection” when walking through their estate because there have been recent fights and stabbings locally.",Critical,Weapon-carrying and fear of violence in the community; immediate safeguarding and police liaison required.
MAN37,Cadet frequently turns up without having eaten since lunchtime and says they often skip dinner because their parent works late and “can’t be bothered to cook”. They report stomach aches and difficulty concentrating.,Medium,Possible neglect of basic care at home; needs further exploration and appropriate safeguarding response.
MAN38,Parent rings to say they are struggling to manage their child’s behaviour and feel close to “losing it” at times. They deny hurting the child but sound overwhelmed and ask if there is any support available.,Medium,Parent in distress requesting help; early help/family support needed to prevent escalation.
MAN39,"Cadet reports that a CFAV drove significantly over the speed limit while transporting cadets back from an event, commenting that they “like to make good time”. Other cadets confirm they felt unsafe during the journey.",High,Unsafe driving with young people on board; serious health and safety and safeguarding concern.
MAN40,A new cadet with limited English appears shy and reserved on parade but smiles when engaged and joins in when shown what to do. There are no current concerns raised by parents or staff.,Low,No specific safeguarding concern; requires inclusive practice and observation as they settle in.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
