report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
183,2026-01-27 22:25:02,NW-ACF-002,Adult Volunteer,Annual Camp,15-17,Phone call,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,Closed
134,2025-11-30 19:44:02,NW-ACF-023,Other,Home,15-17,Other,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Open
7,2025-11-21 02:36:02,NW-ACF-026,Adult Volunteer,Training Weekend,18+,Email,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Mental health,Low,Open
48,2026-02-07 12:07:02,NW-ACF-036,Adult Volunteer,Training Weekend,18+,Phone call,Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Attendance / engagement,High,In progress
179,2025-12-03 12:54:02,NW-ACF-022,Adult Volunteer,Annual Camp,Under 12,Email,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Closed
191,2026-02-05 10:39:02,NW-ACF-012,Other,Parade Night - Detachment,Under 12,Online form,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,In progress
136,2026-02-04 06:55:02,NW-ACF-019,Parent/Carer,Field Exercise,12-14,Phone call,Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Attendance / engagement,High,Closed
96,2025-12-12 19:52:02,NW-ACF-031,Adult Volunteer,Home,Under 12,In person,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Behaviour / conduct,Medium,Closed
64,2025-12-12 13:36:02,NW-ACF-043,Adult Volunteer,Training Weekend,12-14,Email,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Other,High,Closed
130,2025-12-10 07:18:02,NW-ACF-018,Adult Volunteer,Field Exercise,15-17,Other,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Online safety,Critical,Closed
199,2026-01-17 19:56:02,NW-ACF-013,Other,Home,Under 12,Other,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,Closed
33,2026-02-06 10:32:02,NW-ACF-047,Adult Volunteer,Training Weekend,15-17,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,In progress
11,2026-01-05 15:40:02,NW-ACF-037,Cadet,Annual Camp,Under 12,Email,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,Closed
121,2026-02-15 19:29:02,NW-ACF-050,Parent/Carer,Parade Night - Detachment,Under 12,Phone call,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Behaviour / conduct,Low,In progress
132,2025-12-24 18:37:02,NW-ACF-010,Other,Parade Night - Detachment,18+,Email,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Mental health,Low,In progress
80,2026-02-12 14:03:02,NW-ACF-025,Cadet,Training Weekend,12-14,Email,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Home issues,Medium,Open
106,2025-12-22 03:45:02,NW-ACF-032,Adult Volunteer,Training Weekend,15-17,Email,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Home issues,Low,Closed
3,2026-01-14 16:22:02,NW-ACF-032,Adult Volunteer,Field Exercise,Under 12,Other,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,Open
111,2026-02-07 09:26:02,NW-ACF-004,Adult Volunteer,Field Exercise,18+,Other,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,Open
161,2025-12-15 13:25:02,NW-ACF-047,Cadet,Training Weekend,18+,Phone call,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,In progress
10,2025-12-25 18:54:02,NW-ACF-015,Cadet,Annual Camp,18+,Other,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Closed
166,2026-02-07 11:49:02,NW-ACF-050,Cadet,Training Weekend,Under 12,In person,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Other,Medium,In progress
29,2026-01-08 20:14:02,NW-ACF-048,Parent/Carer,Annual Camp,15-17,Email,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,In progress
18,2026-01-13 20:30:02,NW-ACF-004,Adult Volunteer,Parade Night - Detachment,18+,Email,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Open
1,2025-11-21 03:42:02,NW-ACF-021,Cadet,Training Weekend,18+,In person,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Online safety,Critical,Open
148,2026-01-30 15:40:02,NW-ACF-003,Adult Volunteer,Annual Camp,18+,Other,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,Open
155,2026-01-29 19:25:02,NW-ACF-038,Adult Volunteer,Parade Night - Detachment,18+,Other,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Online safety,High,In progress
107,2025-12-04 10:43:02,NW-ACF-030,Cadet,Training Weekend,15-17,In person,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,In progress
61,2025-11-24 19:07:02,NW-ACF-042,Parent/Carer,Annual Camp,Under 12,Other,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,In progress
40,2026-02-11 16:34:02,NW-ACF-007,Other,Field Exercise,12-14,Online form,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
91,2026-02-15 05:56:02,NW-ACF-043,Parent/Carer,Training Weekend,12-14,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Financial hardship,Medium,Closed
171,2025-11-27 03:38:02,NW-ACF-021,Other,Field Exercise,Under 12,In person,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Open
23,2025-11-28 11:31:02,NW-ACF-045,Adult Volunteer,Home,18+,In person,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Mental health,Medium,Open
38,2026-01-05 10:37:02,NW-ACF-048,Cadet,Parade Night - Detachment,12-14,Phone call,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Mental health,Critical,Open
140,2026-01-14 01:53:02,NW-ACF-028,Other,Parade Night - Detachment,12-14,Email,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,Open
6,2026-01-14 15:03:02,NW-ACF-040,Cadet,Field Exercise,18+,Online form,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,Open
102,2025-11-27 19:20:02,NW-ACF-025,Parent/Carer,Parade Night - Detachment,15-17,Other,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Home issues,Medium,Closed
118,2025-11-20 09:00:02,NW-ACF-019,Other,Annual Camp,18+,In person,Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Attendance / engagement,Critical,In progress
99,2025-12-28 22:41:02,NW-ACF-028,Cadet,Home,15-17,Online form,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,Open
87,2025-12-11 07:45:02,NW-ACF-044,Cadet,Parade Night - Detachment,Under 12,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
94,2026-01-13 20:09:02,NW-ACF-038,Parent/Carer,Field Exercise,12-14,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Financial hardship,Medium,Open
78,2026-02-10 04:08:02,NW-ACF-001,Parent/Carer,Parade Night - Detachment,Under 12,Online form,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,Closed
43,2025-12-06 12:41:02,NW-ACF-050,Other,Annual Camp,15-17,Phone call,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,Open
188,2026-02-07 10:40:02,NW-ACF-014,Parent/Carer,Training Weekend,Under 12,In person,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Open
151,2026-01-14 22:52:02,NW-ACF-029,Other,Field Exercise,15-17,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,In progress
187,2026-02-12 14:10:02,NW-ACF-046,Parent/Carer,Annual Camp,18+,Online form,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Online safety,Critical,Closed
16,2026-01-19 21:22:02,NW-ACF-016,Cadet,Parade Night - Detachment,12-14,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Open
112,2025-12-05 14:49:02,NW-ACF-012,Other,Annual Camp,Under 12,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Behaviour / conduct,Low,Open
182,2026-01-08 11:09:02,NW-ACF-011,Adult Volunteer,Parade Night - Detachment,18+,Online form,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Closed
50,2025-12-10 08:27:02,NW-ACF-016,Adult Volunteer,Home,12-14,In person,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,In progress
164,2026-01-23 06:59:02,NW-ACF-019,Cadet,Home,Under 12,Online form,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Open
194,2026-01-09 19:50:02,NW-ACF-022,Adult Volunteer,Annual Camp,18+,Online form,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,Open
47,2026-01-19 03:00:02,NW-ACF-011,Cadet,Annual Camp,Under 12,Email,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Open
24,2025-12-04 09:23:02,NW-ACF-049,Adult Volunteer,Annual Camp,15-17,Phone call,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Open
142,2026-01-22 09:10:02,NW-ACF-044,Parent/Carer,Annual Camp,15-17,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,In progress
138,2025-12-03 04:12:02,NW-ACF-019,Adult Volunteer,Home,18+,In person,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Online safety,Critical,In progress
93,2025-11-19 12:53:02,NW-ACF-031,Other,Annual Camp,15-17,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,In progress
72,2025-12-29 06:46:02,NW-ACF-044,Cadet,Home,15-17,In person,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Home issues,Low,Closed
196,2026-01-09 22:30:02,NW-ACF-026,Parent/Carer,Annual Camp,12-14,In person,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Open
90,2025-12-28 13:48:02,NW-ACF-019,Cadet,Annual Camp,12-14,In person,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Bullying,Medium,Closed
124,2026-02-15 23:01:02,NW-ACF-033,Adult Volunteer,Training Weekend,15-17,Phone call,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Open
193,2026-02-08 21:01:02,NW-ACF-005,Other,Home,15-17,In person,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
19,2025-11-30 22:46:02,NW-ACF-037,Other,Field Exercise,18+,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,Closed
41,2025-11-19 01:52:02,NW-ACF-042,Other,Field Exercise,12-14,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,Open
149,2025-12-23 11:29:02,NW-ACF-024,Cadet,Parade Night - Detachment,18+,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Financial hardship,Medium,In progress
144,2026-01-03 06:46:02,NW-ACF-010,Other,Annual Camp,15-17,Online form,"Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Online safety,Low,Closed
135,2026-02-01 17:06:02,NW-ACF-022,Other,Training Weekend,Under 12,Email,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Other,Critical,In progress
77,2025-12-09 14:29:02,NW-ACF-015,Cadet,Home,Under 12,In person,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Open
185,2026-01-16 20:41:02,NW-ACF-037,Parent/Carer,Parade Night - Detachment,12-14,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
175,2025-11-26 21:25:02,NW-ACF-007,Other,Annual Camp,Under 12,Email,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,In progress
68,2026-02-15 06:50:02,NW-ACF-032,Parent/Carer,Home,15-17,Email,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,Closed
86,2026-01-15 06:37:02,NW-ACF-012,Parent/Carer,Field Exercise,18+,Other,Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Attendance / engagement,Critical,In progress
119,2025-11-30 00:28:02,NW-ACF-047,Parent/Carer,Field Exercise,12-14,In person,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Online safety,Critical,In progress
13,2025-12-15 04:49:02,NW-ACF-004,Cadet,Parade Night - Detachment,18+,Other,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Closed
39,2025-12-25 19:22:02,NW-ACF-049,Adult Volunteer,Field Exercise,Under 12,Phone call,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,In progress
2,2025-12-17 10:49:02,NW-ACF-041,Cadet,Annual Camp,Under 12,Other,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
56,2025-12-09 18:54:02,NW-ACF-047,Adult Volunteer,Annual Camp,18+,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,Open
100,2026-01-18 02:34:02,NW-ACF-038,Other,Training Weekend,12-14,Other,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,In progress
8,2025-11-28 10:10:02,NW-ACF-047,Parent/Carer,Parade Night - Detachment,12-14,Email,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,Open
66,2025-12-22 22:50:02,NW-ACF-036,Cadet,Parade Night - Detachment,18+,Email,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Mental health,Medium,Open
21,2026-01-25 04:26:02,NW-ACF-023,Cadet,Training Weekend,15-17,In person,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Open
197,2025-12-02 16:49:02,NW-ACF-004,Other,Annual Camp,12-14,Email,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Home issues,Medium,Open
131,2026-02-09 22:51:02,NW-ACF-010,Parent/Carer,Annual Camp,12-14,Email,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Other,Critical,In progress
60,2026-01-31 11:02:02,NW-ACF-010,Adult Volunteer,Annual Camp,Under 12,In person,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Closed
97,2025-12-29 08:59:02,NW-ACF-046,Other,Field Exercise,Under 12,In person,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Online safety,High,In progress
157,2025-12-28 20:36:02,NW-ACF-034,Other,Home,12-14,In person,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Home issues,Low,In progress
172,2026-01-31 03:06:02,NW-ACF-041,Cadet,Training Weekend,18+,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
5,2025-12-17 22:31:02,NW-ACF-012,Adult Volunteer,Home,12-14,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
122,2025-12-07 17:25:02,NW-ACF-039,Cadet,Field Exercise,12-14,Other,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Closed
82,2026-02-09 12:17:02,NW-ACF-042,Adult Volunteer,Training Weekend,15-17,Phone call,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Mental health,Critical,Open
169,2025-12-26 12:57:02,NW-ACF-013,Cadet,Training Weekend,12-14,Online form,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Closed
