report_id,reporter_role,setting,age_band,category_label,urgency_label,free_text
32,Commanding Officer,Weekend Exercise,16-18,Bullying / peer conflict,Medium,"During a break, I observed Cadet Jones being pushed against a wall by two other cadets who were calling him names related to his accent. When I approached, they quickly dispersed. Jones looked distressed and said this type of incident has been occurring regularly over the past few weeks."
33,Civilian Instructor,Online/Remote,16-18,Bullying / peer conflict,Medium,Cadet Williams disclosed that she's been receiving nasty messages on social media from other cadets in her section calling her offensive names about her appearance. She showed me screenshots of group chats where multiple cadets have been making cruel comments about her weight over the last fortnight.
34,CFAV,Off-site Activity,14-16,Bullying / peer conflict,Medium,"I noticed Cadet Thompson sitting alone during lunch break looking withdrawn. When asked, he revealed that several cadets have been taking his money and threatening him if he tells anyone. He said this has escalated from verbal taunts to physical intimidation over recent training sessions."
35,Civilian Instructor,Weekend Exercise,16-18,Bullying / peer conflict,Medium,Cadet Brown reported that older cadets have been forcing him to do their cleaning duties and threatening to make his life difficult if he refuses. He mentioned they've been isolating him from other new recruits and spreading rumours about him to prevent friendships forming.
36,Parent/Carer,Annual Camp,Under 12,Bullying / peer conflict,Medium,Cadet Smith approached me after parade tonight saying that three older cadets have been calling him names and hiding his kit for the past month. He said they wait for him after activities and make comments about his weight. Smith appeared upset and said it's making him not want to come to cadets anymore.
37,Cadet,Annual Camp,14-16,Bullying / peer conflict,Medium,"During fieldcraft training I observed Cadet Jones being deliberately excluded from her section's activities. The other cadets were whispering and laughing when she tried to join in. Jones sat alone during the break and when I asked if she was okay, she said the others have been leaving her out of everything for weeks."
38,CFAV,Weekend Exercise,12-14,Bullying / peer conflict,Medium,Cadet Williams disclosed that he's been receiving nasty messages on social media from two cadets in his platoon. He showed me screenshots of messages calling him names and making fun of his appearance. Williams said this has been going on for about three weeks and it's affecting his sleep.
39,Parent/Carer,Online/Remote,16-18,Bullying / peer conflict,Medium,I noticed Cadet Taylor has become increasingly withdrawn over the past fortnight. Today she told me that a group of cadets have been spreading rumours about her family and making jokes about where she lives. Taylor said she feels embarrassed to be at cadets and several cadets have stopped talking to her.
40,Commanding Officer,Weekend Exercise,14-16,Bullying / peer conflict,Medium,"Cadet Brown came to see me before parade looking distressed. He explained that every week for the past month, certain cadets have been taking his lunch money and threatening to tell everyone embarrassing stories about him if he doesn't comply. Brown said he's been making excuses to avoid coming to some activities."
41,Commanding Officer,Off-site Activity,Under 12,Bullying / peer conflict,Medium,"During tonight's parade, I observed three older cadets from 2 Section repeatedly making comments about Cadet Johnson's appearance and calling him names when the instructors weren't looking. This has been happening for the past three weeks according to Cadet Johnson, who approached me after parade looking quite upset. He said they also exclude him from group activities and make jokes about his family background."
42,CFAV,Weekend Exercise,14-16,Bullying / peer conflict,Medium,Cadet Williams disclosed that several cadets in her year have been sending her nasty messages through WhatsApp about her performance during drill practice. She showed me screenshots of messages calling her 'useless' and saying she doesn't belong in cadets. She mentioned this started after she was selected for the district competition team last month.
43,Cadet,Parade Night,Under 12,Bullying / peer conflict,Medium,"I noticed Cadet Thompson has become increasingly withdrawn over the past month and barely speaks during activities. When I asked him privately, he told me that a group of cadets have been taking his kit bag and hiding it, making him late for activities. He said they also spread rumours that he's only in cadets because his dad forces him to attend."
44,Cadet,Annual Camp,16-18,Bullying / peer conflict,Medium,"Cadet Davies approached me in tears after the evening's activities, explaining that other cadets have been deliberately bumping into her and knocking her equipment over during fieldcraft exercises. She said this behaviour has escalated since she reported a cadet for inappropriate comments two weeks ago, and now she feels like she's being targeted by his friends."
45,Parent/Carer,Parade Night,Under 12,Bullying / peer conflict,Medium,"I observed a pattern where Cadet Martinez is consistently left out when cadets form groups for activities, and I've heard sniggers when he volunteers answers during lessons. He confided that cadets have been making comments about his accent and telling him to 'go back where he came from' during breaks when staff aren't present."
46,Parent/Carer,Weekend Exercise,14-16,Bullying / peer conflict,Medium,Three cadets have been consistently excluding Sophie from group activities during the past month. She's been sitting alone at break times and other cadets have told me they've seen messages in the group chat making fun of her uniform. Sophie mentioned to me that she doesn't want to come to parade anymore because 'nobody likes her here'.
47,Civilian Instructor,Online/Remote,12-14,Bullying / peer conflict,Medium,Jake disclosed that a group of older cadets have been calling him names about his weight every week after drill practice. He said they wait for him outside the changing rooms and make comments about him being 'too fat for his uniform'. This has been happening for about three weeks and he's started making excuses to leave early.
48,Cadet,Off-site Activity,14-16,Bullying / peer conflict,Medium,Several cadets reported that Marcus has been deliberately damaging other people's kit during field exercises. Last weekend he allegedly put mud in another cadet's boots and hid someone's beret. Two cadets said they're now afraid to leave their belongings unattended when Marcus is around.
49,Cadet,Parade Night,14-16,Bullying / peer conflict,Medium,Chloe came to see me upset because a group of cadets have been spreading rumours that she's been 'getting too friendly' with one of the adult instructors. She said the comments started after she received a commendation last month and now she feels uncomfortable participating in activities.
50,Commanding Officer,Parade Night,12-14,Bullying / peer conflict,Medium,"During the past fortnight, Ryan has been the target of persistent name-calling from his section. They've been making comments about his family background and calling him 'benefits boy'. Other cadets have witnessed this happening multiple times during parade nights and Ryan has become noticeably withdrawn from group discussions."
51,Civilian Instructor,Off-site Activity,16-18,Bullying / peer conflict,High,Cadet Williams disclosed that three older cadets have been forcing him to hand over his lunch money every week for the past month. He said they threatened to beat him up if he tells anyone and showed me bruising on his arm which he said was from when he initially refused to pay them.
52,Commanding Officer,Weekend Exercise,16-18,Bullying / peer conflict,High,"During tonight's parade, Cadet Thompson broke down crying and told me that Cadet Jones and his friends have been sending her explicit photos and videos via WhatsApp, demanding she send similar content back or they'll share embarrassing photos of her around the unit."
53,Cadet,Annual Camp,14-16,Bullying / peer conflict,High,"Cadet Martinez approached me after drill and said that every time he uses the toilet block, Cadet Stevens and two others corner him, call him racial slurs, and physically push him against the walls. He rolled up his sleeves and showed fresh bruising on both arms from yesterday's incident."
54,Commanding Officer,Annual Camp,16-18,Bullying / peer conflict,High,"Cadet Brown disclosed that she's been too scared to attend weekend camps because Cadet Wilson keeps threatening to hurt her little sister who attends the local primary school. She said Wilson knows where her sister walks home and has been following her, taking photos to prove he can 'get to her anytime'."
55,Parent/Carer,Parade Night,12-14,Bullying / peer conflict,High,Three cadets reported seeing Cadet Foster being held down by four older cadets behind the accommodation block during last weekend's camp while they took turns hitting him in the stomach. Cadet Foster has since stopped attending parades and his parents called asking why he's been coming home with unexplained injuries.
56,Commanding Officer,Weekend Exercise,12-14,Bullying / peer conflict,High,Cadet X disclosed that three older cadets have been forcing him to give them his lunch money every week for the past month. He said they threatened to 'beat him up properly' if he tells anyone and showed me bruising on his upper arm which he said was from when he tried to refuse last week.
57,Parent/Carer,Parade Night,14-16,Bullying / peer conflict,High,"During a residential exercise, Cadet Y was found crying in her room at 0200hrs. She disclosed that her section has been putting soap in her water bottle and laxatives in her food as 'punishment' for being different. She said this has been happening for two weeks and she's been too scared to eat properly."
58,CFAV,Parade Night,Under 12,Bullying / peer conflict,High,Cadet Z approached me after parade and said that other cadets have created a group chat specifically to share embarrassing photos of him changing and to plan 'pranks' on him. He showed me screenshots of messages discussing putting itching powder in his uniform and said they've been spreading rumours that he's gay to his family.
59,Cadet,Online/Remote,14-16,Bullying / peer conflict,High,"A parent contacted me concerned about their son Cadet A who has been coming home with torn uniform and unexplained injuries. The cadet eventually disclosed that a group of cadets have been cornering him in the toilets during breaks, calling him racial slurs, and physically assaulting him while filming it on their phones."
60,Commanding Officer,Online/Remote,16-18,Bullying / peer conflict,High,Cadet B disclosed that senior cadets have been making her perform 'initiation tasks' including drinking large amounts of water until she was sick and standing outside in underwear in cold weather. She said they told her this was normal for new cadets and that worse things would happen if she refused or told anyone.
61,CFAV,Off-site Activity,12-14,Bullying / peer conflict,High,Cadet Smith disclosed that three older cadets have been forcing him to hand over his dinner money every week for the past month. He said they threatened to 'beat him up properly' if he tells anyone and showed me bruising on his arm which he says is from when he initially refused.
62,Civilian Instructor,Online/Remote,14-16,Bullying / peer conflict,High,"During evening activities, Cadet Jones broke down crying and told me that Cadet Williams has been sending her threatening messages on social media saying he knows where she lives and will 'make her pay' for reporting him last month. She showed me screenshots of messages including graphic threats of violence."
63,Civilian Instructor,Weekend Exercise,16-18,Bullying / peer conflict,High,Cadet Brown approached me privately and said that a group of cadets have created a group chat specifically to share embarrassing photos of him taken in the changing rooms without his consent. He's extremely distressed and says they're threatening to share the images more widely unless he stops attending parade nights.
64,Civilian Instructor,Annual Camp,Under 12,Bullying / peer conflict,High,"Cadet Taylor disclosed that older cadets have been cornering her in the stores area and making sexual comments about her body. She said yesterday one of them grabbed her inappropriately and when she pushed him away, he said 'no one will believe you anyway' and that the other cadets would back his version of events."
65,Civilian Instructor,Annual Camp,16-18,Bullying / peer conflict,High,"Found Cadet Wilson hiding in the toilets during break, visibly shaken. He told me that Cadet Harris and two others have been systematically destroying his personal belongings and yesterday pushed him down the stairs, telling him he 'doesn't belong here' because of his sexuality."
66,Civilian Instructor,Weekend Exercise,12-14,Bullying / peer conflict,High,"During evening activities, I overheard Cadet Jones telling another cadet that the older cadets in his section have been making him eat dirt and forcing him to clean their boots with his own clothes. He showed me bruising on his arms which he said was from them grabbing him. Jones was visibly shaking when describing these incidents."
67,Civilian Instructor,Online/Remote,Under 12,Bullying / peer conflict,High,Cadet Smith disclosed that three cadets from the senior section have been cornering her in the changing rooms and taking photos of her without permission. She said they've threatened to share the images online if she tells anyone. Smith appeared very distressed and said this has been happening for several weeks.
68,Civilian Instructor,Off-site Activity,14-16,Bullying / peer conflict,High,"I witnessed Cadet Brown being physically pushed against the wall by two other cadets who were calling him homophobic slurs. When I approached, Brown had a bleeding lip and torn uniform. He later told me this group has been targeting him daily, including following him home from camp."
69,Cadet,Parade Night,16-18,Bullying / peer conflict,High,Cadet Williams came to me in tears saying that older cadets have been forcing him to hand over his lunch money every week and threatening to hurt his younger brother who also attends cadets if he refuses. He showed me messages on his phone with explicit threats of violence against both him and his family.
70,Parent/Carer,Weekend Exercise,16-18,Bullying / peer conflict,High,"During a weekend exercise, I found Cadet Taylor locked in a storage shed by other cadets who had removed his clothes and left him there for over an hour in freezing conditions. Taylor was hypothermic and extremely distressed, saying this was the third time they'd done this to him."
71,Civilian Instructor,Annual Camp,16-18,Bullying / peer conflict,High,Cadet Smith disclosed that three older cadets have been forcing him to hand over his lunch money every parade night for the past month. He said they threatened to 'beat him up properly' if he tells anyone and showed me bruising on his upper arm which he said was from when he initially refused.
72,Parent/Carer,Weekend Exercise,16-18,Bullying / peer conflict,High,"During evening meal, I witnessed Cadet Jones being surrounded by five other cadets who were filming her on their phones while calling her offensive names about her weight and appearance. She was visibly distressed and trying to cover her face. Other cadets were laughing and sharing the footage on social media."
73,Civilian Instructor,Parade Night,Under 12,Bullying / peer conflict,High,"Cadet Williams approached me privately to report that Cadet Thompson has been sending threatening messages to his personal social media accounts, including photos of him with his face circled and words like 'you're dead' written over them. He showed me screenshots of multiple messages received over the past two weeks."
74,Civilian Instructor,Online/Remote,12-14,Bullying / peer conflict,High,"I observed Cadet Davies being deliberately excluded from all group activities during camp. When she tried to join in, other cadets would physically block her or make comments about her family background. She spent most of the day sitting alone and refused to eat meals with the group."
75,Cadet,Online/Remote,16-18,Bullying / peer conflict,High,Cadet Roberts disclosed that several cadets have been spreading rumours about his sexuality around the squadron and have been leaving notes in his locker with homophobic slurs. He said the harassment has escalated to cadets following him home from parade nights and shouting abuse at him in the street.
76,CFAV,Annual Camp,Under 12,Bullying / peer conflict,Critical,Cadet Smith disclosed that three older cadets cornered him in the changing rooms last week and forced him to perform a sexual act while they filmed it on their phones. He said they threatened to share the video if he told anyone. He was visibly shaking and crying when he told me this.
77,Cadet,Online/Remote,12-14,Bullying / peer conflict,Critical,During parade tonight Cadet Jones pulled me aside and said that Cadet Williams has been forcing her to send naked photos of herself to him. She said he threatened to spread rumours about her family if she didn't comply. She showed me several threatening messages on her phone.
78,Civilian Instructor,Weekend Exercise,16-18,Bullying / peer conflict,Critical,Cadet Brown approached me after drill and disclosed that a group of senior cadets have been taking money from younger cadets by threatening to beat them up. He said they took £20 from him yesterday and told him they knew where he lived and would hurt his little sister if he reported it.
79,Cadet,Annual Camp,16-18,Bullying / peer conflict,Critical,Cadet Davis came to me in tears saying that older cadets have been making her strip down to her underwear in the stores cupboard as an 'initiation ritual'. She said they told her all new female cadets have to do this and threatened to make her training miserable if she refused.
80,Commanding Officer,Off-site Activity,12-14,Bullying / peer conflict,Critical,Cadet Thompson disclosed that he's been forced by other cadets to bring in prescription medication from home which they then sell to younger cadets. He said they threatened to physically assault him and destroy his uniform if he stopped. He seemed genuinely terrified.
81,Commanding Officer,Weekend Exercise,14-16,Bullying / peer conflict,Critical,Cadet Williams disclosed that three older cadets cornered him in the toilets last week and forced him to remove his clothing while they filmed it on a phone. He said they threatened to share the video if he told anyone and have been demanding money from him since.
82,Parent/Carer,Online/Remote,16-18,Bullying / peer conflict,Critical,"During a one-to-one conversation, Cadet Thompson broke down and told me that Senior Cadet Matthews has been forcing her to meet him alone after parade nights. She said he threatens to spread rumours about her family if she refuses and that he has touched her inappropriately on multiple occasions."
83,CFAV,Annual Camp,16-18,Bullying / peer conflict,Critical,"Cadet Jones approached me in tears saying that a group of cadets have been making him eat dirt and grass during field exercises. He showed me bruising on his arms and said they twist his skin until he complies, telling him no one will believe him because he's different."
84,Cadet,Weekend Exercise,14-16,Bullying / peer conflict,Critical,I overheard Cadet Davis telling another cadet that Senior Cadet Brown made him perform sexual acts in exchange for not reporting him for minor infractions. Davis appeared extremely distressed and said this has been happening for months during overnight camps.
85,Parent/Carer,Parade Night,Under 12,Bullying / peer conflict,Critical,"Cadet Mitchell disclosed that several cadets have been forcing him to steal items from the stores and local shops. He said they filmed him taking things and now use the footage to make him do whatever they want, including bringing them alcohol and cigarettes."
86,Cadet,Annual Camp,Under 12,Bullying / peer conflict,Critical,"During evening activities, Cadet Smith disclosed that three older cadets from his platoon have been forcing him to hand over money from his wallet every week, threatening to 'properly hurt' him if he tells anyone. He said they've been doing this for two months and showed bruising on his arm from where they grabbed him yesterday."
87,Civilian Instructor,Weekend Exercise,12-14,Bullying / peer conflict,Critical,"Cadet Jones broke down crying during drill practice and told me that several cadets have been sending her explicit sexual messages and images through social media, saying they'll share private photos of her around the unit if she doesn't comply with their demands. She's been too frightened to attend parade nights for the past three weeks."
88,Commanding Officer,Weekend Exercise,16-18,Bullying / peer conflict,Critical,"Found Cadet Williams hiding in the equipment store, visibly shaking and with torn uniform. He disclosed that a group of senior cadets have been physically assaulting him in the changing rooms after each parade night, including punching him in the stomach and threatening to sexually assault him if he reports them."
89,Commanding Officer,Annual Camp,Under 12,Bullying / peer conflict,Critical,"Cadet Thompson approached me in tears, saying that older cadets have been forcing her to steal money from other cadets' belongings and equipment from the armoury, threatening to beat her up and spread false rumours about her family if she refuses. She's terrified they'll carry out their threats as they've already pushed her down the stairs once."
90,CFAV,Off-site Activity,14-16,Bullying / peer conflict,Critical,"During first aid training, Cadet Brown quietly disclosed that a group of cadets have been blackmailing him with compromising photos they took of him in the showers, demanding he performs sexual acts or they'll share the images with everyone at school and online."
91,Parent/Carer,Weekend Exercise,16-18,Bullying / peer conflict,Critical,"During drill practice, I witnessed Cadet X corner Cadet Y behind the equipment shed and punch him repeatedly in the stomach while two other cadets held his arms. Cadet Y was gasping and couldn't stand properly afterwards. When I approached, Cadet X threatened that if Cadet Y 'snitched' he would 'get it worse at school tomorrow'."
92,Commanding Officer,Parade Night,12-14,Bullying / peer conflict,Critical,"Cadet A disclosed that a group of older cadets have been forcing her to send them photos of herself undressed via Snapchat. She said they told her if she doesn't comply, they will share intimate photos they already have of her with everyone in her year at school and post them online."
93,Cadet,Online/Remote,16-18,Bullying / peer conflict,Critical,"I observed Cadet B with severe bruising around his neck and when asked, he broke down crying and said three cadets from the senior section had held him down and strangled him with a rope until he nearly passed out. He said they filmed it on their phones and are threatening to do it again if he tells anyone."
94,Cadet,Annual Camp,Under 12,Bullying / peer conflict,Critical,Cadet C came to me in floods of tears saying that four cadets have been sexually assaulting her in the changing rooms after every parade night for the past month. She described specific incidents of forced touching and said they've threatened to hurt her younger brother who also attends if she reports it.
95,Civilian Instructor,Off-site Activity,16-18,Bullying / peer conflict,Critical,"During a field exercise, I discovered Cadet D had been tied to a tree overnight by other cadets and left there in freezing conditions. When found, he was hypothermic and barely conscious. Other cadets nearby were laughing and taking photos of him on their phones."
96,Cadet,Parade Night,12-14,Bullying / peer conflict,Critical,Cadet Williams disclosed that three older cadets cornered him in the changing rooms last week and forced him to perform a sexual act while they filmed it on their phones. He said they threatened to share the video with everyone if he told anyone. He was visibly shaking when he told me this during today's break.
97,Civilian Instructor,Annual Camp,16-18,Bullying / peer conflict,Critical,Sarah told me that Cadet Thompson has been forcing her to send nude photos to him via Snapchat for the past month. She said he threatened to spread rumours that she's a slag if she didn't comply. She showed me some of the threatening messages he's sent her.
98,Parent/Carer,Annual Camp,Under 12,Bullying / peer conflict,Critical,Cadet Jones approached me after parade saying that four cadets from the senior section have been making him eat cigarette butts and drink their urine during overnight camps. He said this has happened on three different weekend exercises over the past two months. He had bruising on his arms and looked terrified.
99,Commanding Officer,Off-site Activity,12-14,Bullying / peer conflict,Critical,"During today's session I noticed Cadet Peterson had significant bruising around his neck. When I asked him about it privately, he disclosed that two older cadets held him down and strangled him with a belt in the armoury yesterday evening. He said they told him they'd kill him if he reported it."
100,Commanding Officer,Parade Night,16-18,Bullying / peer conflict,Critical,Cadet Davies told me that she's being forced by older female cadets to steal money from other cadets' bags and give it to them. She said they've threatened to beat her up and make her life hell if she stops. She's clearly terrified and mentioned this has been going on for weeks during every parade night.
101,Commanding Officer,Off-site Activity,12-14,Mental health / self-harm,Low,Cadet Smith mentioned during a break that they've been feeling 'a bit down' recently and haven't been sleeping well. They said school has been quite stressful with upcoming exams. They seemed their usual self during the training session and participated normally in all activities.
102,CFAV,Off-site Activity,12-14,Mental health / self-harm,Low,"I noticed Cadet Jones has been quieter than usual over the past two sessions. When I asked if everything was okay, they said they'd been having some worries about things at home but didn't want to talk about it. They completed all drill movements and seemed engaged during the first aid lesson."
103,Parent/Carer,Online/Remote,Under 12,Mental health / self-harm,Low,Cadet Brown told me they sometimes feel sad for no reason and have been crying at night occasionally. They said it's probably just teenage hormones and that their mum thinks it's normal. They were chatty with their friends and showed good enthusiasm during weapons training.
104,Commanding Officer,Parade Night,14-16,Mental health / self-harm,Low,"During the debrief, Cadet Williams mentioned they've been finding it hard to concentrate at school lately and feel tired most of the time. They said they've been staying up late on their phone and know they should get more sleep. They performed well in today's fieldcraft exercise."
105,Commanding Officer,Annual Camp,Under 12,Mental health / self-harm,Low,Cadet Taylor approached me after parade to say they've been feeling worried about lots of different things recently. They couldn't explain what exactly was bothering them but said everything feels overwhelming sometimes. They participated fully in tonight's activities and seemed happy chatting with other cadets.
106,CFAV,Annual Camp,Under 12,Mental health / self-harm,Low,Cadet Jones mentioned during break that they've been feeling a bit down lately and haven't been sleeping well since their pet died last month. They said they're finding it hard to concentrate in lessons at school but are managing to keep up with cadet activities.
107,Civilian Instructor,Off-site Activity,14-16,Mental health / self-harm,Low,"I noticed Cadet Smith has been quieter than usual over the past couple of weeks and didn't join in with the usual banter during drill practice. When I asked if everything was alright, they said they've just been feeling a bit stressed about upcoming GCSEs."
108,Civilian Instructor,Off-site Activity,12-14,Mental health / self-harm,Low,"During first aid training, Cadet Brown mentioned they sometimes feel overwhelmed by everything they have to do and wish they could just stay in bed some mornings. They laughed it off and said everyone probably feels like that sometimes."
109,Cadet,Weekend Exercise,16-18,Mental health / self-harm,Low,Cadet Williams told me they've been having some trouble getting to sleep recently and have been watching YouTube videos quite late. They mentioned feeling tired during the day but said it's probably just because of the longer nights.
110,Cadet,Weekend Exercise,12-14,Mental health / self-harm,Low,I overheard Cadet Taylor telling their friend that they've been feeling 'a bit rubbish' lately and that nothing seems as fun as it used to be. They were still participating normally in activities but seemed less enthusiastic than usual.
111,Civilian Instructor,Weekend Exercise,12-14,Mental health / self-harm,Low,"During tonight's drill practice, Cadet Williams mentioned she's been feeling a bit down lately because her GCSE revision is stressing her out. She said she sometimes feels overwhelmed but is managing with help from her mum."
112,Parent/Carer,Parade Night,16-18,Mental health / self-harm,Low,"Cadet Thompson was quieter than usual during the navigation exercise. When I asked if everything was alright, he said he's been having trouble sleeping and feels a bit anxious about starting college next year."
