report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
24,2026-02-12 10:23:08,NW-ACF-026,Cadet,Parade Night - Detachment,15-17,Phone call,Cadet has been observed winding up younger cadets and ignoring reminders about behaviour standards. The concern appears low-level at this stage; staff will continue to observe and provide a safe space for the cadet to talk.,Behaviour / conduct,Low,Open
25,2025-11-25 15:57:08,NW-ACF-032,Adult Volunteer (CFAV),Field Exercise,18+,Phone call,"Cadet has spoken about feeling ‘numb’ and disconnected from friends and activities, and has stopped engaging in usual hobbies. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Mental health,Critical,Open
26,2026-02-03 19:54:08,NW-ACF-076,Adult Volunteer (CFAV),Parade Night - Detachment,18+,Phone call,Staff were told that the cadet has been missing from home overnight on several occasions and returns with unexplained money or items. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Exploitation / trafficking,High,Closed
27,2026-01-23 14:23:08,NW-ACF-022,Other,Online session,18+,Email,"Cadet described frequent shouting and arguments at home, saying the atmosphere is tense and they struggle to relax there. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Home issues,High,Closed
28,2026-01-18 03:26:08,NW-ACF-074,Parent/Carer,Home,18+,Phone call,"Cadet mentioned being in private online forums where extremist views are discussed and has repeated some of these views at parade. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.",Radicalisation / extremism,Low,Open
29,2025-08-28 08:59:08,NW-ACF-096,Other,Parade Night - Detachment,18+,In person,"Cadet described feeling constantly stressed and overwhelmed and said they are finding it hard to cope with day-to-day tasks. At present there is no indication of immediate risk, but the situation will be monitored and support options explained to the cadet.",Mental health,Low,Open
30,2025-11-17 15:56:08,NW-ACF-034,Parent/Carer,Parade Night - Detachment,12-14,Online form,"Parent conversation suggested that the family is planning a trip where cultural practices may include procedures that pose a risk of serious harm. Contact with external safeguarding agencies and, if necessary, emergency services should be considered without delay.",FGM / harmful practices,Critical,Open
31,2026-01-29 02:26:08,NW-ACF-011,Parent/Carer,Annual Camp,12-14,Other,"Cadet described frequent shouting and arguments at home, saying the atmosphere is tense and they struggle to relax there. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Home issues,Medium,In progress
32,2025-12-26 08:07:08,NW-ACF-051,Parent/Carer,Online session,15-17,Other,Cadet disclosed that relatives have spoken about a ‘special procedure’ to be carried out when they visit family abroad and appeared very anxious about this. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,FGM / harmful practices,Critical,Closed
33,2025-11-08 21:07:08,NW-ACF-065,Parent/Carer,Training Weekend,18+,Email,Staff were told that the cadet has been missing from home overnight on several occasions and returns with unexplained money or items. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,Exploitation / trafficking,Critical,Open
34,2025-11-01 08:37:08,NW-ACF-058,Adult Volunteer (CFAV),Home,15-17,In person,Cadet reports repeated unkind comments and name-calling from a small group during parade nights. The information suggests a significant safeguarding concern and the case requires prompt discussion with the safeguarding lead.,Bullying,High,In progress
35,2026-01-10 13:03:08,NW-ACF-062,Cadet,Field Exercise,Under 12,In person,"Staff have noticed the cadet regularly missing key training sessions without clear reasons, and peers have expressed concern. The concern appears low-level at this stage; staff will continue to observe and provide a safe space for the cadet to talk.",Attendance / engagement,Low,Closed
36,2025-10-24 23:24:08,NW-ACF-100,Parent/Carer,Home,18+,Email,"Staff observed the cadet struggling with mobility and wincing in pain during physical tasks, but they were reluctant to explain why. The concern is having an impact on the cadet and requires timely follow-up in line with safeguarding procedures.",Physical safety,Medium,In progress
37,2025-08-22 03:11:08,NW-ACF-004,Cadet,Field Exercise,Under 12,Email,"Cadet has spoken about feeling ‘numb’ and disconnected from friends and activities, and has stopped engaging in usual hobbies. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically.",Mental health,Low,Open
38,2026-01-20 23:52:08,NW-ACF-057,Cadet,Annual Camp,12-14,In person,"Cadet has spoken about feeling ‘numb’ and disconnected from friends and activities, and has stopped engaging in usual hobbies. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken.",Mental health,High,In progress
39,2025-11-04 17:34:08,NW-ACF-062,Other,Home,15-17,Phone call,Cadet reported that there have been changes in who is living at home and that they do not feel comfortable around one of the adults. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps.,Home issues,Medium,Closed
40,2025-09-18 10:37:08,NW-ACF-071,Parent/Carer,Annual Camp,18+,Phone call,"Staff were told that the cadet has been missing from home overnight on several occasions and returns with unexplained money or items. Contact with external safeguarding agencies and, if necessary, emergency services should be considered without delay. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Exploitation / trafficking,Critical,Closed
41,2025-10-31 19:05:08,NW-ACF-009,Cadet,Annual Camp,12-14,In person,Cadet disclosed that a Cadet Force Adult Volunteer (CFAV) has made them feel uncomfortable with comments and unnecessary physical contact during activities. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Abuse by adult in organisation,High,In progress
42,2025-12-11 17:50:08,NW-ACF-073,Adult Volunteer (CFAV),Online session,12-14,Email,"Cadet hinted that there are ongoing problems between carers at home and that they often stay out late to avoid being there. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Home issues,Low,In progress
43,2025-10-08 03:19:08,NW-ACF-049,Parent/Carer,Online session,Under 12,In person,"Cadet, who was previously enthusiastic, has begun arriving late, leaving early and avoiding taking part in team tasks. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Attendance / engagement,Critical,In progress
44,2025-10-31 10:42:08,NW-ACF-022,Parent/Carer,Annual Camp,18+,Online form,"Cadet attended with visible bruising and flinched when staff moved nearby, becoming distressed when asked about the injuries. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Physical safety,High,Open
45,2025-11-17 22:41:08,NW-ACF-026,Parent/Carer,Online session,18+,Other,"Cadet described frequent shouting and arguments at home, saying the atmosphere is tense and they struggle to relax there. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Home issues,High,Open
46,2025-11-17 00:22:08,NW-ACF-098,Cadet,Annual Camp,15-17,In person,"Cadet has become increasingly argumentative with peers and staff, with incidents of raised voices and refusal to follow instructions. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.",Behaviour / conduct,Low,In progress
47,2025-09-25 23:28:08,NW-ACF-079,Adult Volunteer (CFAV),Field Exercise,18+,Online form,"There have been a number of low-level altercations involving the cadet, including pushing and verbal disputes. The information suggests a significant safeguarding concern and the case requires prompt discussion with the safeguarding lead. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.",Behaviour / conduct,High,Closed
48,2025-09-05 13:50:08,NW-ACF-098,Adult Volunteer (CFAV),Training Weekend,12-14,In person,Cadet hinted that there are ongoing problems between carers at home and that they often stay out late to avoid being there. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.,Home issues,Medium,Open
49,2026-02-15 01:22:08,NW-ACF-005,Cadet,Online session,12-14,Online form,Cadet stated that a CFAV has been sending them personal messages outside normal communication channels and has hinted at meeting one-to-one. The concern is having an impact on the cadet and requires timely follow-up in line with safeguarding procedures.,Abuse by adult in organisation,Medium,Closed
50,2025-12-17 15:43:08,NW-ACF-042,Adult Volunteer (CFAV),Online session,Under 12,Phone call,"During a general discussion, cadet disclosed a situation that may indicate vulnerability, though details are not yet clear. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps.",Other,Medium,In progress
51,2025-12-31 04:31:08,NW-ACF-013,Adult Volunteer (CFAV),Online session,12-14,Phone call,"Cadet, who was previously enthusiastic, has begun arriving late, leaving early and avoiding taking part in team tasks. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.",Attendance / engagement,Critical,Open
52,2026-01-17 17:51:08,NW-ACF-002,Adult Volunteer (CFAV),Annual Camp,18+,In person,"Cadet has appeared increasingly withdrawn and low in mood over several weeks, participating less in activities they previously enjoyed. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.",Mental health,Medium,Closed
53,2025-10-15 00:52:08,NW-ACF-004,Other,Annual Camp,15-17,Other,"Cadet disclosed that an older individual they met online has been asking for personal information and to meet in person. At present there is no indication of immediate risk, but the situation will be monitored and support options explained to the cadet.",Online safety,Low,Closed
54,2025-10-20 15:52:08,NW-ACF-039,Cadet,Annual Camp,15-17,Email,Cadet’s attendance has dropped sharply over the last month and they appear distracted when they do attend. The concern appears low-level at this stage; staff will continue to observe and provide a safe space for the cadet to talk. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.,Attendance / engagement,Low,In progress
55,2025-11-09 10:17:08,NW-ACF-082,Parent/Carer,Home,Under 12,Email,Cadet has been talking positively about extremist groups and has shared online content that appears to support violent ideologies. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.,Radicalisation / extremism,Medium,Closed
56,2026-01-07 15:44:08,NW-ACF-024,Other,Training Weekend,12-14,Other,"Cadet reported being added to group chats where explicit or disturbing content is shared, and feels pressured to remain in them. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Online safety,Low,Closed
57,2025-09-25 10:37:08,NW-ACF-007,Parent/Carer,Parade Night - Detachment,12-14,Online form,"Several peers have been excluding the cadet from group activities and making jokes at their expense. At present there is no indication of immediate risk, but the situation will be monitored and support options explained to the cadet.",Bullying,Low,In progress
58,2025-08-29 12:59:08,NW-ACF-029,Parent/Carer,Home,12-14,Email,Cadet hinted that there are ongoing problems between carers at home and that they often stay out late to avoid being there. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.,Home issues,High,Closed
59,2025-08-30 13:53:08,NW-ACF-077,Parent/Carer,Online session,Under 12,Email,"Cadet quietly asked if there was any support available with food during longer activities, as things are difficult at home. The concern is having an impact on the cadet and requires timely follow-up in line with safeguarding procedures. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.",Financial hardship,Medium,Closed
60,2026-02-04 11:49:08,NW-ACF-098,Other,Training Weekend,Under 12,Phone call,"Cadet described frequent shouting and arguments at home, saying the atmosphere is tense and they struggle to relax there. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically.",Home issues,Low,Open
61,2026-01-13 14:31:08,NW-ACF-037,Other,Home,Under 12,Online form,Cadet described feeling constantly stressed and overwhelmed and said they are finding it hard to cope with day-to-day tasks. The concern is having an impact on the cadet and requires timely follow-up in line with safeguarding procedures.,Mental health,Medium,Open
62,2025-09-03 12:10:08,NW-ACF-029,Other,Training Weekend,Under 12,Other,"Cadet hinted that there are ongoing problems between carers at home and that they often stay out late to avoid being there. Contact with external safeguarding agencies and, if necessary, emergency services should be considered without delay.",Home issues,Critical,In progress
63,2026-01-02 23:21:08,NW-ACF-006,Adult Volunteer (CFAV),Parade Night - Detachment,Under 12,In person,"Staff observed the cadet struggling with mobility and wincing in pain during physical tasks, but they were reluctant to explain why. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.",Physical safety,Critical,Closed
64,2026-01-28 05:53:08,NW-ACF-040,Cadet,Home,18+,Other,Cadet disclosed that a Cadet Force Adult Volunteer (CFAV) has made them feel uncomfortable with comments and unnecessary physical contact during activities. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,Abuse by adult in organisation,Critical,In progress
65,2026-01-08 13:35:08,NW-ACF-067,Cadet,Training Weekend,12-14,Online form,"Cadet has become increasingly argumentative with peers and staff, with incidents of raised voices and refusal to follow instructions. The concern appears low-level at this stage; staff will continue to observe and provide a safe space for the cadet to talk. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Behaviour / conduct,Low,Open
66,2025-11-13 17:04:08,NW-ACF-062,Other,Training Weekend,12-14,Phone call,Cadet has been observed winding up younger cadets and ignoring reminders about behaviour standards. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Behaviour / conduct,High,In progress
67,2026-02-09 06:29:08,NW-ACF-074,Other,Field Exercise,Under 12,Email,"Third-party information was received suggesting there may be welfare concerns for this cadet, but further clarification is needed. At present there is no indication of immediate risk, but the situation will be monitored and support options explained to the cadet.",Other,Low,Open
68,2026-02-11 16:35:08,NW-ACF-038,Cadet,Annual Camp,Under 12,Online form,Cadet reported that there have been changes in who is living at home and that they do not feel comfortable around one of the adults. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,Home issues,Critical,Closed
69,2025-11-23 07:45:08,NW-ACF-004,Adult Volunteer (CFAV),Annual Camp,18+,Email,"Cadet has spoken about feeling ‘numb’ and disconnected from friends and activities, and has stopped engaging in usual hobbies. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.",Mental health,High,In progress
70,2025-12-06 23:56:08,NW-ACF-026,Parent/Carer,Parade Night - Detachment,Under 12,Email,Cadet reported that there have been changes in who is living at home and that they do not feel comfortable around one of the adults. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.,Home issues,Critical,Closed
71,2025-12-12 20:23:08,NW-ACF-015,Cadet,Training Weekend,12-14,Other,"Cadet disclosed that relatives have spoken about a ‘special procedure’ to be carried out when they visit family abroad and appeared very anxious about this. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",FGM / harmful practices,High,Open
72,2025-09-17 03:54:08,NW-ACF-068,Adult Volunteer (CFAV),Home,Under 12,Phone call,"Cadet attended with visible bruising and flinched when staff moved nearby, becoming distressed when asked about the injuries. Contact with external safeguarding agencies and, if necessary, emergency services should be considered without delay. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Physical safety,Critical,Open
73,2026-02-05 02:29:08,NW-ACF-066,Parent/Carer,Parade Night - Detachment,Under 12,Other,Cadet explained that they are struggling to afford transport to activities and have missed several parades as a result. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,Financial hardship,Critical,In progress
74,2025-08-19 22:48:08,NW-ACF-083,Adult Volunteer (CFAV),Online session,Under 12,Phone call,"Several peers have been excluding the cadet from group activities and making jokes at their expense. At present there is no indication of immediate risk, but the situation will be monitored and support options explained to the cadet.",Bullying,Low,Closed
75,2025-11-07 17:53:08,NW-ACF-075,Other,Annual Camp,Under 12,Online form,Cadet described feeling constantly stressed and overwhelmed and said they are finding it hard to cope with day-to-day tasks. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.,Mental health,Medium,Open
76,2025-09-15 18:41:08,NW-ACF-089,Adult Volunteer (CFAV),Online session,18+,In person,Cadet reported that there have been changes in who is living at home and that they do not feel comfortable around one of the adults. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Home issues,Medium,Open
77,2025-11-07 06:43:08,NW-ACF-080,Other,Annual Camp,12-14,Email,"Cadet reported being added to group chats where explicit or disturbing content is shared, and feels pressured to remain in them. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.",Online safety,High,Open
78,2025-12-28 23:40:08,NW-ACF-034,Cadet,Home,Under 12,In person,Cadet’s attendance has dropped sharply over the last month and they appear distracted when they do attend. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Attendance / engagement,Medium,Closed
79,2026-01-27 11:17:08,NW-ACF-005,Cadet,Field Exercise,Under 12,Phone call,"Parent conversation suggested that the family is planning a trip where cultural practices may include procedures that pose a risk of serious harm. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken.",FGM / harmful practices,High,In progress
80,2025-11-18 10:14:08,NW-ACF-006,Cadet,Home,15-17,Other,"Cadet hinted that they are being pressured to go to addresses with people they do not know well and feel unable to say no. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken.",Exploitation / trafficking,High,In progress
81,2025-10-18 06:05:08,NW-ACF-068,Parent/Carer,Online session,12-14,Other,"Staff observed the cadet struggling with mobility and wincing in pain during physical tasks, but they were reluctant to explain why. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Physical safety,Critical,In progress
82,2026-01-24 16:58:08,NW-ACF-071,Adult Volunteer (CFAV),Parade Night - Detachment,12-14,Phone call,"Cadet has become increasingly argumentative with peers and staff, with incidents of raised voices and refusal to follow instructions. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Behaviour / conduct,Medium,Closed
83,2025-09-13 03:33:08,NW-ACF-019,Cadet,Online session,Under 12,Email,Another cadet reported that this cadet has spoken about wanting to travel to conflict zones and ‘fight for a cause’. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted. The cadet has attended most recent parades but staff have noticed changes in presentation and demeanour.,Radicalisation / extremism,High,Open
84,2026-02-14 15:52:08,NW-ACF-090,Other,Parade Night - Detachment,18+,Phone call,Cadet has been talking positively about extremist groups and has shared online content that appears to support violent ideologies. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Radicalisation / extremism,High,In progress
85,2025-10-18 23:16:08,NW-ACF-058,Adult Volunteer (CFAV),Annual Camp,12-14,Online form,"Cadet has become increasingly argumentative with peers and staff, with incidents of raised voices and refusal to follow instructions. At present there is no indication of immediate risk, but the situation will be monitored and support options explained to the cadet.",Behaviour / conduct,Low,Open
86,2025-11-06 13:18:08,NW-ACF-026,Other,Home,Under 12,Email,Cadet mentioned being in private online forums where extremist views are discussed and has repeated some of these views at parade. The concern is having an impact on the cadet and requires timely follow-up in line with safeguarding procedures.,Radicalisation / extremism,Medium,Closed
87,2025-10-31 23:13:08,NW-ACF-020,Parent/Carer,Online session,Under 12,Email,Staff were told that the cadet has been missing from home overnight on several occasions and returns with unexplained money or items. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,Exploitation / trafficking,Critical,Closed
88,2025-12-09 12:16:08,NW-ACF-089,Cadet,Training Weekend,18+,Other,Parent mentioned that uniform and boot costs are a concern and that finances are affecting the cadet’s ability to attend events. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Financial hardship,Medium,Closed
89,2025-10-02 22:04:08,NW-ACF-011,Parent/Carer,Field Exercise,18+,Email,Another cadet reported seeing a CFAV regularly isolate this cadet from the group and speak to them behind closed doors. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Abuse by adult in organisation,High,In progress
90,2025-09-30 16:38:08,NW-ACF-059,Cadet,Field Exercise,18+,Email,"Cadet has become increasingly argumentative with peers and staff, with incidents of raised voices and refusal to follow instructions. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps.",Behaviour / conduct,Medium,Open
91,2025-12-21 22:44:08,NW-ACF-026,Adult Volunteer (CFAV),Online session,18+,Email,Cadet disclosed that messages in the detachment group chat have become hostile and targeted towards them. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps.,Bullying,Medium,Closed
92,2026-01-05 07:20:08,NW-ACF-034,Other,Annual Camp,12-14,In person,"Staff have noticed the cadet regularly missing key training sessions without clear reasons, and peers have expressed concern. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps.",Attendance / engagement,Medium,Open
93,2025-12-17 11:39:08,NW-ACF-067,Parent/Carer,Training Weekend,12-14,Online form,"Cadet attended with visible bruising and flinched when staff moved nearby, becoming distressed when asked about the injuries. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Physical safety,Critical,Open
94,2025-12-04 01:43:08,NW-ACF-087,Other,Field Exercise,12-14,Phone call,Cadet hinted that there are ongoing problems between carers at home and that they often stay out late to avoid being there. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Home issues,Medium,Open
95,2025-09-12 10:17:08,NW-ACF-048,Cadet,Training Weekend,12-14,Phone call,Cadet stated that a CFAV has been sending them personal messages outside normal communication channels and has hinted at meeting one-to-one. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Abuse by adult in organisation,Medium,Closed
